Name,Count,CountPerSecond,TotalDurationSeconds,FirstStartSeconds,FirstFinishSeconds,FirstDurationSeconds,LastStartSeconds,LastFinishSeconds,LastDurationSeconds,MinDurationSeconds,MaxDurationSeconds,MeanDurationSeconds,DeviationDurationSeconds,
FEngineLoop::PreInitPostStartupScreen,1,2.925636,0.341806,1.693313,2.035119,0.341806,1.693313,2.035119,0.341806,0.341806,0.341806,0.341806,0.000000,
FEngineLoop::PreInitPostStartupScreen.AfterStats,1,2.925645,0.341805,1.693314,2.035119,0.341805,1.693314,2.035119,0.341805,0.341805,0.341805,0.341805,0.000000,
Anim Tick Time,1993,57.428896,0.341615,2.197223,2.197224,0.000001,36.900867,36.901007,0.000140,0.000001,0.001411,0.000171,0.000076,
FAudioThreadTask.AudioUpdateTime,1991,59.588278,0.339167,3.060867,3.061034,0.000167,36.473407,36.473479,0.000072,0.000055,0.001625,0.000170,0.000092,
Char NonSimulated Time,1990,58.339192,0.327178,2.790497,2.790564,0.000067,36.901208,36.901357,0.000149,0.000065,0.001485,0.000164,0.000083,
DeferredRenderUpdates,4111,118.648150,0.324952,2.260111,2.260117,0.000006,36.908717,36.908776,0.000059,0.000001,0.000406,0.000079,0.000036,
ParallelMdcDispatchPassSetup,25961,750.575241,0.323638,2.278214,2.278216,0.000002,36.866313,36.866352,0.000039,0.000000,0.002169,0.000012,0.000030,
TG_StartPhysics,1991,58.353445,0.321600,2.781922,2.781924,0.000002,36.901454,36.901587,0.000133,0.000002,0.001201,0.000162,0.000093,
UpdateAnimation,1991,57.380510,0.320244,2.202812,2.203008,0.000196,36.900875,36.901005,0.000130,0.000068,0.001397,0.000161,0.000073,
Source Manager Update,1635,47.002720,0.318593,2.064840,2.064860,0.000020,36.849788,36.850061,0.000273,0.000003,0.002657,0.000195,0.000122,
DrawStatsHUD,1993,57.541579,0.308994,2.273529,2.275256,0.001727,36.909190,36.909353,0.000163,0.000056,0.001727,0.000155,0.000072,
Char PerformMovement,1990,58.339204,0.306681,2.790503,2.790564,0.000061,36.901215,36.901356,0.000141,0.000061,0.001475,0.000154,0.000080,
